CODE_ARTICLE;DESIGNATION;PV_TTC
2595;GEL MACHINE LILAS F.I. 2.5L;23,5
2321;GEL MACHINE LILAS ENZYMA X 2.5L;22,5
3160;GEL MACHINE LILAS CLEAN POWER VERT 3L;22,9
3649;GEL MACHINE FLORAL LILAS 3L;22,9
4098;GEL LAV MAINS CFRESH VERVEINE ET CITRON VERT 350ML;4,5
3356;GEL LAV MAINS CFRESH SENTEURS MARINES 350ML;4,5
3537;GANT STANDARD PM PAREX;7,5
3538;GANT STANDARD MM PAREX;7,5
4344;GANT DE MENAGE BI-COLOR PAIRE MEDIUM LARGE;3,5
4633;FWAWNIS 75W;2,5
4632;FWAWNIS 75W;2,5
2417;FINISH CLASSIC 40 PASTILLES;35,2
3330;FINESS SH LAVE LINGE 5 L EJM;21,8
2390;FINESSE LESSIVE MAIN 2 L JMAL;10
2787;FINESSE LESSIVE MAIN 1L JMAL;5
3606;FILM FRAIS 400G;9,8
2344;FEUILLE D'ALUMINIUM 5M;2,8
4523;FELCE AZZURRA ORIGINAL 2 L;11,5
2387;FAWEH BLANC 1L RECTANGULAIRE JMAL;2,9
2386;FAWEH BIDON 5L JMAL;8,9
3305;FAIRY ALL IN ONE PLUS 30P;31,9
3094;EPANGE MAGIQUE;7,3
3122;ELIMINE LES VIRUS;6,3
3174;DIXAN CAPS COLOR 27WL;30,5
2432;DIPTOX PM 300ML;5,2
2431;DIPTOX GM 500ML;6,8
2345;DIMAFRAIS 8M;3,3
4714;DIAMOND;2
4199;DEGRAISSANT PROF FORCEXPRESS 1 L;10,5
2473;DEGRAISSANT JUDY 450ML;6,8
4191;DECAPANT JUDY 1L;7,5
4509;DAILY MAX;2
3360;CUREDENT TIGE GM;2,5
3352;CURE DENTS FLEUR;1,5
3981;CLASS 2L EJM;16,8
2477;CHOC WC 500GR;3,8
4474;CHOC POUDRE A RECURER 500GR JA;5,3
4476;CHOC NET 4 BLOC PIN;4,8
4160;CHOC NET 4 BLOC LAVANDE;8,6
41600;CHOC NET 4 BLOC CITRON;8,6
2478;CHOC DEBOUCHEUR 300GR;5,3
4767;CHOC COMBAT OCEAN 300ML;6,8
4616;CHAROOL TABLETS;1,5
4203;CHARCOOL;1,5
2407;CAROLIN SOL SAVON NOIR;11,5
2406;CAROLIN SOL PARQUETS MODERNES;11,5
2410;CAROLIN PISTOLET MULTI-SURFACES AU BICARBONATE;11,3
2408;CAROLIN PISTOLET MULTI-SURFACES;11,3
4851;CAROLIN PISTOLET CITRON 650ML;11,3
4854;CAROLIN AU SAVON MARSEILLE HUILE DE LIN;11,5
3242;CAROLIN AU SAVON MARSEILLE;11,5
3093;BROSSE POR VAISSELLE PAREX;4,9
2405;BROSSE FENETRE SOFPINCE;3,3
4072;BROSSE BALAI CONDOR SOFPINCE;3,5
3688;BOUTEILLE WATER FRESH LINA 750ML;7,5
4040;BOUGIES CANDELINA PROFUMATA;26,5
4042;BOUGIE HAPPY BIRTHDAY;11,5
3204;BOUGIE CHIFFRE THEME 429;2
3207;BOUGIE 24P;2,5
4060;BKHOUR;4,5
4212;BALLOONS;1
4044;BALLONS HAPPY BIRTHDAY;18,8
2322;BALAI TOSCANA SOFPINCE;2,5
2324;BALAI CONCORD BSP;3,5
